# exported from Jira 2026-09-07 by p.strand
# encoding: utf-8, delimiter: comma, quoting: minimal (sic)
key,type,summary,component,severity,found_in,status,created,resolved,change_request
VST-1214,Bug,"EOL learn times out, intermittently, on line 3",SWC-ASSIST,major,HIL,Blocked,2022-05-09,,CHR-2025-0170
VST-1215,Task,"EOL learn times out, intermittently, on line 3",SWC-SAFEMON,major,HIL,Closed,2021-10-10,2021-12-19,
VST-1216,Bug,Assist map discontinuity above 120 km/h,SWC-ASSIST,blocker,unit,Closed,2020-03-21,2020-04-10,
VST-1217,Bug,Damping step at break point on H1,SWC-DIAG,blocker,HIL,Closed,2025-09-15,2025-11-09,
VST-1218,Bug,"EOL learn times out, intermittently, on line 3",SWC-DIAG,minor,unit,Closed,2020-11-08,2021-03-28,
VST-1219,Bug,Hysteresis compensation asymmetric left vs right,SWC-DIAG,minor,vehicle,Closed,2020-09-01,2020-09-24,
VST-1220,Bug,"Return to centre overshoots at 60 km/h",SWC-ASSIST,major,vehicle,Closed,2020-09-17,,
VST-1221,Story,Assist map discontinuity above 120 km/h,SWC-DIAG,minor,HIL,Closed,2021-03-04,2021-08-03,
VST-1222,Story,Diagnostic DID 0xF190 returns padded string,SWC-DAMP,minor,unit,Closed,2020-03-01,2020-07-31,
VST-1223,Bug,Return to centre overshoots at 60 km/h,SWC-ASSIST,major,HIL,Closed,2025-02-27,2025-06-29,CHR-2025-0009
VST-1224,Task,"Motor current ripple above spec at low speed",SWC-DIAG,minor,unit,Closed,2022-04-05,2022-06-15,
VST-1225,Story,Assist map discontinuity above 120 km/h,SWC-HYSTCOMP,major,unit,Closed,2021-03-06,2021-06-11,
VST-1226,Bug,Diagnostic DID 0xF190 returns padded string,SWC-SAFEMON,minor,HIL,Closed,2021-11-11,2022-03-12,CHR-2020-0175
VST-1227,Bug,Return to centre overshoots at 60 km/h,SWC-SAFEMON,minor,unit,Closed,2024-03-18,,CHR-2021-0050
VST-1228,Bug,Torque sensor plausibility trips on cold start,SWC-DAMP,minor,unit,Closed,2024-04-03,2024-07-04,
VST-1229,Bug,Damping step at break point on H1,SWC-DIAG,minor,HIL,Open,2022-10-20,2023-03-18,CHR-2021-0085
VST-1230,Story,Motor current ripple above spec at low speed,SWC-HYSTCOMP,major,unit,Closed,2022-02-17,2022-05-22,
VST-1231,Task,"EOL learn times out, intermittently, on line 3",SWC-DIAG,major,field,Closed,2019-10-30,2020-01-25,CHR-2024-0132
VST-1232,Bug,Damping step at break point on H1,SWC-MOTCTL,major,unit,Blocked,2021-11-04,2022-02-15,CHR-2021-0177
VST-1233,Task,"Hysteresis compensation asymmetric left vs right",SWC-HYSTCOMP,major,vehicle,Closed,2025-12-21,2026-01-14,
VST-1234,Bug,"Return to centre overshoots at 60 km/h",SWC-ASSIST,major,HIL,Open,2020-03-15,2020-07-25,CHR-2022-0154
VST-1235,Bug,Assist map discontinuity above 120 km/h,SWC-HYSTCOMP,minor,unit,Closed,2025-05-21,2025-08-08,
VST-1236,Story,Diagnostic DID 0xF190 returns padded string,SWC-SAFEMON,major,HIL,Closed,2019-12-25,2020-02-11,
VST-1237,Task,Return to centre overshoots at 60 km/h,SWC-DAMP,major,field,Closed,2023-12-04,,
VST-1238,Task,Diagnostic DID 0xF190 returns padded string,SWC-DIAG,major,unit,Closed,2019-12-28,,CHR-2024-0166
VST-1239,Bug,Diagnostic DID 0xF190 returns padded string,SWC-ASSIST,major,unit,Closed,2019-09-30,2020-03-20,CHR-2022-0064
